areaCode,areaName,areaType,date,newCasesByPublishDate
E12000001,North East,region,2021-03-08,306
E12000001,North East,region,2021-03-07,217
E12000001,North East,region,2021-03-06,306
E12000001,North East,region,2021-03-05,282
E12000001,North East,region,2021-03-04,367
E12000001,North East,region,2021-03-03,407
E12000001,North East,region,2021-03-02,305
E12000001,North East,region,2021-03-01,276
E12000001,North East,region,2021-02-28,326
E12000001,North East,region,2021-02-27,460
E12000001,North East,region,2021-02-26,419
E12000001,North East,region,2021-02-25,420
E12000001,North East,region,2021-02-24,483
E12000001,North East,region,2021-02-23,468
E12000001,North East,region,2021-02-22,570
E12000001,North East,region,2021-02-21,297
E12000001,North East,region,2021-02-20,517
E12000001,North East,region,2021-02-19,618
E12000001,North East,region,2021-02-18,563
E12000001,North East,region,2021-02-17,782
E12000001,North East,region,2021-02-16,546
E12000001,North East,region,2021-02-15,521
E12000001,North East,region,2021-02-14,497
E12000001,North East,region,2021-02-13,623
E12000001,North East,region,2021-02-12,748
E12000001,North East,region,2021-02-11,747
E12000001,North East,region,2021-02-10,586
E12000001,North East,region,2021-02-09,709
E12000001,North East,region,2021-02-08,577
E12000001,North East,region,2021-02-07,668
E12000001,North East,region,2021-02-06,750
E12000001,North East,region,2021-02-05,831
E12000001,North East,region,2021-02-04,997
E12000001,North East,region,2021-02-03,900
E12000001,North East,region,2021-02-02,753
E12000001,North East,region,2021-02-01,715
E12000001,North East,region,2021-01-31,886
E12000001,North East,region,2021-01-30,794
E12000001,North East,region,2021-01-29,1186
E12000001,North East,region,2021-01-28,1087
E12000001,North East,region,2021-01-27,1167
E12000001,North East,region,2021-01-26,863
E12000001,North East,region,2021-01-25,626
E12000001,North East,region,2021-01-24,857
E12000001,North East,region,2021-01-23,1176
E12000001,North East,region,2021-01-22,1267
E12000001,North East,region,2021-01-21,1384
E12000001,North East,region,2021-01-20,1499
E12000001,North East,region,2021-01-19,1066
E12000001,North East,region,2021-01-18,1087
E12000001,North East,region,2021-01-17,1077
E12000001,North East,region,2021-01-16,1261
E12000001,North East,region,2021-01-15,1948
E12000001,North East,region,2021-01-14,1635
E12000001,North East,region,2021-01-13,1911
E12000001,North East,region,2021-01-12,1299
E12000001,North East,region,2021-01-11,1238
E12000001,North East,region,2021-01-10,1269
E12000001,North East,region,2021-01-09,1097
E12000001,North East,region,2021-01-08,1478
E12000001,North East,region,2021-01-07,1336
E12000001,North East,region,2021-01-06,1980
E12000001,North East,region,2021-01-05,1552
E12000001,North East,region,2021-01-04,2124
E12000001,North East,region,2021-01-03,1566
E12000001,North East,region,2021-01-02,1737
E12000001,North East,region,2021-01-01,1340
E12000001,North East,region,2020-12-31,1741
E12000001,North East,region,2020-12-30,1957
E12000001,North East,region,2020-12-29,1230
E12000001,North East,region,2020-12-28,699
E12000001,North East,region,2020-12-27,583
E12000001,North East,region,2020-12-26,805
E12000001,North East,region,2020-12-25,944
E12000001,North East,region,2020-12-24,1137
E12000001,North East,region,2020-12-23,941
E12000001,North East,region,2020-12-22,1253
E12000001,North East,region,2020-12-21,1108
E12000001,North East,region,2020-12-20,586
E12000001,North East,region,2020-12-19,531
E12000001,North East,region,2020-12-18,515
E12000001,North East,region,2020-12-17,590
E12000001,North East,region,2020-12-16,801
E12000001,North East,region,2020-12-15,460
E12000001,North East,region,2020-12-14,509
E12000001,North East,region,2020-12-13,572
E12000001,North East,region,2020-12-12,771
E12000001,North East,region,2020-12-11,689
E12000001,North East,region,2020-12-10,791
E12000001,North East,region,2020-12-09,687
E12000001,North East,region,2020-12-08,406
E12000001,North East,region,2020-12-07,466
E12000001,North East,region,2020-12-06,542
E12000001,North East,region,2020-12-05,586
E12000001,North East,region,2020-12-04,698
E12000001,North East,region,2020-12-03,652
E12000001,North East,region,2020-12-02,590
E12000001,North East,region,2020-12-01,638
E12000001,North East,region,2020-11-30,528
E12000001,North East,region,2020-11-29,598
E12000001,North East,region,2020-11-28,752
E12000001,North East,region,2020-11-27,805
E12000001,North East,region,2020-11-26,900
E12000001,North East,region,2020-11-25,876
E12000001,North East,region,2020-11-24,598
E12000001,North East,region,2020-11-23,732
E12000001,North East,region,2020-11-22,837
E12000001,North East,region,2020-11-21,1106
E12000001,North East,region,2020-11-20,1439
E12000001,North East,region,2020-11-19,1290
E12000001,North East,region,2020-11-18,1556
E12000001,North East,region,2020-11-17,1276
E12000001,North East,region,2020-11-16,3365
E12000001,North East,region,2020-11-15,1483
E12000001,North East,region,2020-11-14,1619
E12000001,North East,region,2020-11-13,1883
E12000001,North East,region,2020-11-12,2086
E12000001,North East,region,2020-11-11,1671
E12000001,North East,region,2020-11-10,1303
E12000001,North East,region,2020-11-09,1340
E12000001,North East,region,2020-11-08,1506
E12000001,North East,region,2020-11-07,1391
E12000001,North East,region,2020-11-06,1453
E12000001,North East,region,2020-11-05,1570
E12000001,North East,region,2020-11-04,1272
E12000001,North East,region,2020-11-03,1302
E12000001,North East,region,2020-11-02,1039
E12000001,North East,region,2020-11-01,1170
E12000001,North East,region,2020-10-31,1163
E12000001,North East,region,2020-10-30,1054
E12000001,North East,region,2020-10-29,1136
E12000001,North East,region,2020-10-28,1021
E12000001,North East,region,2020-10-27,1162
E12000001,North East,region,2020-10-26,970
E12000001,North East,region,2020-10-25,1048
E12000001,North East,region,2020-10-24,1150
E12000001,North East,region,2020-10-23,1277
E12000001,North East,region,2020-10-22,1393
E12000001,North East,region,2020-10-21,1888
E12000001,North East,region,2020-10-20,1438
E12000001,North East,region,2020-10-19,707
E12000001,North East,region,2020-10-18,555
E12000001,North East,region,2020-10-17,1101
E12000001,North East,region,2020-10-16,1178
E12000001,North East,region,2020-10-15,1333
E12000001,North East,region,2020-10-14,1228
E12000001,North East,region,2020-10-13,1045
E12000001,North East,region,2020-10-12,1150
E12000001,North East,region,2020-10-11,967
E12000001,North East,region,2020-10-10,1151
E12000001,North East,region,2020-10-09,1087
E12000001,North East,region,2020-10-08,1274
E12000001,North East,region,2020-10-07,1057
E12000001,North East,region,2020-10-06,1233
E12000001,North East,region,2020-10-05,1113
E12000001,North East,region,2020-10-04,2629
E12000001,North East,region,2020-10-03,906
E12000001,North East,region,2020-10-02,421
E12000001,North East,region,2020-10-01,363
E12000001,North East,region,2020-09-30,593
E12000001,North East,region,2020-09-29,756
E12000001,North East,region,2020-09-28,277
E12000001,North East,region,2020-09-27,483
E12000001,North East,region,2020-09-26,522
E12000001,North East,region,2020-09-25,576
E12000001,North East,region,2020-09-24,523
E12000001,North East,region,2020-09-23,667
E12000001,North East,region,2020-09-22,537
E12000001,North East,region,2020-09-21,409
E12000001,North East,region,2020-09-20,418
E12000001,North East,region,2020-09-19,370
E12000001,North East,region,2020-09-18,332
E12000001,North East,region,2020-09-17,264
E12000001,North East,region,2020-09-16,278
E12000001,North East,region,2020-09-15,201
E12000001,North East,region,2020-09-14,89
E12000001,North East,region,2020-09-13,195
E12000001,North East,region,2020-09-12,228
E12000001,North East,region,2020-09-11,218
E12000001,North East,region,2020-09-10,203
E12000001,North East,region,2020-09-09,216
E12000001,North East,region,2020-09-08,108
E12000001,North East,region,2020-09-07,190
E12000001,North East,region,2020-09-06,232
E12000001,North East,region,2020-09-05,116
E12000001,North East,region,2020-09-04,117
E12000001,North East,region,2020-09-03,73
E12000001,North East,region,2020-09-02,95
E12000001,North East,region,2020-09-01,89
E12000001,North East,region,2020-08-31,100
E12000001,North East,region,2020-08-30,91
E12000001,North East,region,2020-08-29,19
E12000001,North East,region,2020-08-28,46
E12000001,North East,region,2020-08-27,54
E12000001,North East,region,2020-08-26,47
E12000001,North East,region,2020-08-25,18
E12000001,North East,region,2020-08-24,45
E12000001,North East,region,2020-08-23,28
E12000001,North East,region,2020-08-22,38
E12000001,North East,region,2020-08-21,38
E12000001,North East,region,2020-08-20,30
E12000001,North East,region,2020-08-19,22
E12000001,North East,region,2020-08-18,22
E12000001,North East,region,2020-08-17,18
E12000001,North East,region,2020-08-16,39
E12000001,North East,region,2020-08-15,40
E12000001,North East,region,2020-08-14,76
E12000001,North East,region,2020-08-13,0
E12000001,North East,region,2020-08-12,18
E12000001,North East,region,2020-08-11,21
E12000001,North East,region,2020-08-10,10
E12000001,North East,region,2020-08-09,18
E12000001,North East,region,2020-08-08,20
E12000001,North East,region,2020-08-07,29
E12000001,North East,region,2020-08-06,18
E12000001,North East,region,2020-08-05,20
E12000001,North East,region,2020-08-04,10
E12000001,North East,region,2020-08-03,13
E12000001,North East,region,2020-08-02,13
E12000001,North East,region,2020-08-01,14
E12000001,North East,region,2020-07-31,19
E12000001,North East,region,2020-07-30,7
E12000001,North East,region,2020-07-29,11
E12000001,North East,region,2020-07-28,11
E12000001,North East,region,2020-07-27,4
E12000001,North East,region,2020-07-26,4
E12000001,North East,region,2020-07-25,12
E12000001,North East,region,2020-07-24,9
E12000001,North East,region,2020-07-23,17
E12000001,North East,region,2020-07-22,9
E12000001,North East,region,2020-07-21,3
E12000001,North East,region,2020-07-20,7
E12000001,North East,region,2020-07-19,21
E12000001,North East,region,2020-07-18,16
E12000001,North East,region,2020-07-17,7
E12000001,North East,region,2020-07-16,12
E12000001,North East,region,2020-07-15,4
E12000001,North East,region,2020-07-14,4
E12000001,North East,region,2020-07-13,8
E12000001,North East,region,2020-07-12,16
E12000001,North East,region,2020-07-11,19
E12000001,North East,region,2020-07-10,11
E12000001,North East,region,2020-07-09,10
E12000001,North East,region,2020-07-08,4
E12000001,North East,region,2020-07-07,3
E12000001,North East,region,2020-07-06,13
E12000001,North East,region,2020-07-05,8
E12000001,North East,region,2020-07-04,11
E12000001,North East,region,2020-07-03,3
E12000001,North East,region,2020-07-02,15
E12000001,North East,region,2020-07-01,4484
E12000001,North East,region,2020-06-30,3
E12000001,North East,region,2020-06-29,1
E12000001,North East,region,2020-06-28,2
E12000001,North East,region,2020-06-27,3
E12000001,North East,region,2020-06-26,10
E12000001,North East,region,2020-06-25,5
E12000001,North East,region,2020-06-24,0
E12000001,North East,region,2020-06-23,7
E12000001,North East,region,2020-06-22,6
E12000001,North East,region,2020-06-21,8
E12000001,North East,region,2020-06-20,13
E12000001,North East,region,2020-06-19,7
E12000001,North East,region,2020-06-18,13
E12000001,North East,region,2020-06-17,14
E12000001,North East,region,2020-06-16,17
E12000001,North East,region,2020-06-15,4
E12000001,North East,region,2020-06-14,9
E12000001,North East,region,2020-06-13,9
E12000001,North East,region,2020-06-12,15
E12000001,North East,region,2020-06-11,13
E12000001,North East,region,2020-06-10,10
E12000001,North East,region,2020-06-09,31
E12000001,North East,region,2020-06-08,2
E12000001,North East,region,2020-06-07,8
E12000001,North East,region,2020-06-06,17
E12000001,North East,region,2020-06-05,18
E12000001,North East,region,2020-06-04,20
E12000001,North East,region,2020-06-03,28
E12000001,North East,region,2020-06-02,26
E12000001,North East,region,2020-06-01,17
E12000001,North East,region,2020-05-31,127
E12000001,North East,region,2020-05-30,37
E12000001,North East,region,2020-05-29,58
E12000001,North East,region,2020-05-28,22
E12000001,North East,region,2020-05-27,27
E12000001,North East,region,2020-05-26,24
E12000001,North East,region,2020-05-25,49
E12000001,North East,region,2020-05-24,16
E12000001,North East,region,2020-05-23,73
E12000001,North East,region,2020-05-22,51
E12000001,North East,region,2020-05-21,55
E12000001,North East,region,2020-05-20,63
E12000001,North East,region,2020-05-19,85
E12000001,North East,region,2020-05-18,14
E12000001,North East,region,2020-05-17,26
E12000001,North East,region,2020-05-16,78
E12000001,North East,region,2020-05-15,66
E12000001,North East,region,2020-05-14,94
E12000001,North East,region,2020-05-13,135
E12000001,North East,region,2020-05-12,79
E12000001,North East,region,2020-05-11,94
E12000001,North East,region,2020-05-10,59
E12000001,North East,region,2020-05-09,87
E12000001,North East,region,2020-05-08,160
E12000001,North East,region,2020-05-07,249
E12000001,North East,region,2020-05-06,64
E12000001,North East,region,2020-05-05,80
E12000001,North East,region,2020-05-04,87
E12000001,North East,region,2020-05-03,223
E12000001,North East,region,2020-05-02,128
E12000001,North East,region,2020-05-01,261
E12000001,North East,region,2020-04-30,328
E12000001,North East,region,2020-04-29,50
E12000001,North East,region,2020-04-28,104
E12000001,North East,region,2020-04-27,139
E12000001,North East,region,2020-04-26,159
E12000001,North East,region,2020-04-25,226
E12000001,North East,region,2020-04-24,228
E12000001,North East,region,2020-04-23,223
E12000001,North East,region,2020-04-22,320
E12000001,North East,region,2020-04-21,164
E12000001,North East,region,2020-04-20,216
E12000001,North East,region,2020-04-19,280
E12000001,North East,region,2020-04-18,158
E12000001,North East,region,2020-04-17,263
E12000002,North West,region,2021-11-22,3941
E12000002,North West,region,2021-11-21,3231
E12000002,North West,region,2021-11-20,4112
E12000002,North West,region,2021-11-19,4274
E12000002,North West,region,2021-11-18,4239
E12000002,North West,region,2021-11-17,4400
E12000002,North West,region,2021-11-16,3851
E12000002,North West,region,2021-11-15,3341
E12000002,North West,region,2021-11-14,3356
E12000002,North West,region,2021-11-13,3735
E12000002,North West,region,2021-11-12,3708
E12000002,North West,region,2021-11-11,4381
E12000002,North West,region,2021-11-10,4297
E12000002,North West,region,2021-11-09,3525
E12000002,North West,region,2021-11-08,2963
E12000002,North West,region,2021-11-07,2816
E12000002,North West,region,2021-11-06,3482
E12000002,North West,region,2021-11-05,3601
E12000002,North West,region,2021-11-04,3771
E12000002,North West,region,2021-11-03,4574
E12000002,North West,region,2021-11-02,3626
E12000002,North West,region,2021-11-01,3926
E12000002,North West,region,2021-10-31,3863
E12000002,North West,region,2021-10-30,4524
E12000002,North West,region,2021-10-29,5141
E12000002,North West,region,2021-10-28,3598
E12000002,North West,region,2021-10-27,4408
E12000002,North West,region,2021-10-26,3905
E12000002,North West,region,2021-10-25,3879
E12000002,North West,region,2021-10-24,3778
E12000002,North West,region,2021-10-23,4559
E12000002,North West,region,2021-10-22,5089
E12000002,North West,region,2021-10-21,4993
E12000002,North West,region,2021-10-20,5409
E12000002,North West,region,2021-10-19,4482
E12000002,North West,region,2021-10-18,4527
E12000002,North West,region,2021-10-17,4260
E12000002,North West,region,2021-10-16,4615
E12000002,North West,region,2021-10-15,5295
E12000002,North West,region,2021-10-14,5322
E12000002,North West,region,2021-10-13,5100
E12000002,North West,region,2021-10-12,5058
E12000002,North West,region,2021-10-11,3998
E12000002,North West,region,2021-10-10,4366
E12000002,North West,region,2021-10-09,4325
E12000002,North West,region,2021-10-08,4507
E12000002,North West,region,2021-10-07,4743
E12000002,North West,region,2021-10-06,5322
E12000002,North West,region,2021-10-05,4061
E12000002,North West,region,2021-10-04,3616
E12000002,North West,region,2021-10-03,3376
E12000002,North West,region,2021-10-02,3927
E12000002,North West,region,2021-10-01,4169
E12000002,North West,region,2021-09-30,4205
E12000002,North West,region,2021-09-29,4225
E12000002,North West,region,2021-09-28,3427
E12000002,North West,region,2021-09-27,3279
E12000002,North West,region,2021-09-26,3552
E12000002,North West,region,2021-09-25,3622
E12000002,North West,region,2021-09-24,3965
E12000002,North West,region,2021-09-23,4444
E12000002,North West,region,2021-09-22,4081
E12000002,North West,region,2021-09-21,3519
E12000002,North West,region,2021-09-20,3702
E12000002,North West,region,2021-09-19,3138
E12000002,North West,region,2021-09-18,3712
E12000002,North West,region,2021-09-17,3877
E12000002,North West,region,2021-09-16,3368
E12000002,North West,region,2021-09-15,3222
E12000002,North West,region,2021-09-14,3119
E12000002,North West,region,2021-09-13,3361
E12000002,North West,region,2021-09-12,2985
E12000002,North West,region,2021-09-11,3411
E12000002,North West,region,2021-09-10,3855
E12000002,North West,region,2021-09-09,3951
E12000002,North West,region,2021-09-08,4129
E12000002,North West,region,2021-09-07,4505
E12000002,North West,region,2021-09-06,3459
E12000002,North West,region,2021-09-05,3462
E12000002,North West,region,2021-09-04,4102
E12000002,North West,region,2021-09-03,4477
E12000002,North West,region,2021-09-02,3915
E12000002,North West,region,2021-09-01,3309
E12000002,North West,region,2021-08-31,3186
E12000002,North West,region,2021-08-30,2606
E12000002,North West,region,2021-08-29,3100
E12000002,North West,region,2021-08-28,3444
E12000002,North West,region,2021-08-27,3505
E12000002,North West,region,2021-08-26,3898
E12000002,North West,region,2021-08-25,3337
E12000002,North West,region,2021-08-24,3275
E12000002,North West,region,2021-08-23,3039
E12000002,North West,region,2021-08-22,2982
E12000002,North West,region,2021-08-21,3108
E12000002,North West,region,2021-08-20,3302
E12000002,North West,region,2021-08-19,3577
E12000002,North West,region,2021-08-18,3275
E12000002,North West,region,2021-08-17,2916
E12000002,North West,region,2021-08-16,3228
E12000002,North West,region,2021-08-15,2616
E12000002,North West,region,2021-08-14,3593
E12000002,North West,region,2021-08-13,3621
E12000002,North West,region,2021-08-12,3539
E12000002,North West,region,2021-08-11,3189
E12000002,North West,region,2021-08-10,2877
E12000002,North West,region,2021-08-09,2877
E12000002,North West,region,2021-08-08,3037
E12000002,North West,region,2021-08-07,3043
E12000002,North West,region,2021-08-06,3456
E12000002,North West,region,2021-08-05,3608
E12000002,North West,region,2021-08-04,3195
E12000002,North West,region,2021-08-03,2265
E12000002,North West,region,2021-08-02,2451
E12000002,North West,region,2021-08-01,2939
E12000002,North West,region,2021-07-31,3311
E12000002,North West,region,2021-07-30,3373
E12000002,North West,region,2021-07-29,3588
E12000002,North West,region,2021-07-28,2999
E12000002,North West,region,2021-07-27,2683
E12000002,North West,region,2021-07-26,3281
E12000002,North West,region,2021-07-25,3464
E12000002,North West,region,2021-07-24,3615
E12000002,North West,region,2021-07-23,4172
E12000002,North West,region,2021-07-22,5600
E12000002,North West,region,2021-07-21,5322
E12000002,North West,region,2021-07-20,5058
E12000002,North West,region,2021-07-19,5176
E12000002,North West,region,2021-07-18,6962
E12000002,North West,region,2021-07-17,7424
